collocate	logDice_christian	logDice_muslim	min_logDice	diff_logDice
in	9.996	10.508	9.996	0.5119999999999987
christians	9.95	10.104	9.95	0.15399999999999991
the	9.848	10.371	9.848	0.5229999999999997
and	9.733	10.216	9.733	0.48299999999999876
muslim	9.722	9.9	9.722	0.17800000000000082
of	9.691	10.171	9.691	0.47999999999999865
muslims	10.326	9.631	9.631	0.6950000000000003
christian	10.548	9.517	9.517	1.0310000000000006
a	9.483	10.118	9.483	0.6349999999999998
against	9.689	9.462	9.462	0.2270000000000003
be	9.412	10.321	9.412	0.9089999999999989
population	9.318	9.489	9.318	0.17100000000000115
by	9.31	10.435	9.31	1.125
their	9.288	9.61	9.288	0.3219999999999992
that	9.278	9.996	9.278	0.718
to	9.235	10.277	9.235	1.0419999999999998
for	9.216	9.69	9.216	0.4740000000000002
have	9.182	9.739	9.182	0.5570000000000004
from	9.145	9.756	9.145	0.6110000000000007
other	9.256	9.123	9.123	0.1330000000000009
between	9.231	9.057	9.057	0.1739999999999995
country	8.982	10.117	8.982	1.1350000000000016
there	8.969	9.23	8.969	0.261000000000001
many	8.933	9.43	8.933	0.4969999999999999
with	8.873	9.857	8.873	0.984
war	8.981	8.868	8.868	0.11299999999999955
who	8.824	9.79	8.824	0.9659999999999993
community	9.083	8.814	8.814	0.26900000000000013
all	8.809	9.84	8.809	1.0310000000000006
as	8.759	9.756	8.759	0.9969999999999999
or	8.706	9.31	8.706	0.604000000000001
on	8.705	9.449	8.705	0.7439999999999998
jihad	8.829	8.688	8.688	0.14100000000000001
european	8.746	8.686	8.686	0.0600000000000005
state	8.947	8.681	8.681	0.266
world	8.61	9.815	8.61	1.205
not	8.56	9.682	8.56	1.1219999999999999
islamic	8.541	9.03	8.541	0.488999999999999
islam	8.524	9.345	8.524	0.8210000000000015
kill	8.512	8.545	8.512	0.032999999999999474
see	8.507	8.503	8.503	0.0039999999999995595
they	8.489	9.724	8.489	1.2349999999999994
this	8.478	9.155	8.478	0.6769999999999996
now	8.673	8.477	8.477	0.19599999999999973
about	8.431	8.698	8.431	0.26700000000000124
become	8.401	8.832	8.401	0.43100000000000094
number	8.389	8.508	8.389	0.11899999999999977
into	8.357	8.837	8.357	0.4800000000000004
over	8.379	8.342	8.342	0.036999999999999034
non	8.339	9.726	8.339	1.3870000000000005
where	8.339	8.639	8.339	0.29999999999999893
he	8.319	8.802	8.319	0.48299999999999876
no	8.311	8.335	8.311	0.02400000000000091
which	8.309	8.611	8.309	0.3020000000000014
more	8.308	9.377	8.308	1.0690000000000008
but	8.305	8.911	8.305	0.6059999999999999
group	8.298	8.684	8.298	0.38599999999999923
some	8.283	8.428	8.283	0.14500000000000135
also	8.34	8.282	8.282	0.05799999999999983
leader	9.092	8.281	8.281	0.8109999999999999
one	8.278	8.618	8.278	0.33999999999999986
land	8.992	8.263	8.263	0.729000000000001
our	8.255	8.26	8.255	0.004999999999999005
million	8.226	8.814	8.226	0.5879999999999992
convert	8.218	8.383	8.218	0.16499999999999915
his	8.201	8.259	8.201	0.05799999999999983
force	8.18	8.924	8.18	0.7439999999999998
would	8.156	8.483	8.156	0.32699999999999996
an	8.132	9.106	8.132	0.9740000000000002
under	8.895	8.117	8.117	0.7779999999999987
include	8.057	8.675	8.057	0.6180000000000003
woman	8.046	8.584	8.046	0.5380000000000003
than	8.04	8.941	8.04	0.9010000000000016
even	8.039	8.69	8.039	0.6509999999999998
its	8.05	8.038	8.038	0.012000000000000455
minority	9.463	8.033	8.033	1.4299999999999997
civil	8.415	8.005	8.005	0.40999999999999837
