target	collocate	f_x_target	f_y_collocate	f_xy_cooc	logDice	window	min_f_y	min_f_xy	min_logDice	semantic_role
christian_norp	lebanese	1649	137	53	9,925	+/-5	10	10	5	lebanese_Z99 
christian_norp	east	1649	281	55	9,867	+/-5	10	10	5	east_M6 
christian_norp	church	1649	506	38	9,174	+/-5	10	10	5	church_S9/H1c 
christian_norp	jewish	1649	152	24	8,77	+/-5	10	10	5	jewish_S9 
christian_norp	agnostic	1649	16	22	8,758	+/-5	10	10	5	agnostic_S9-/S2mf 
christian_norp	atheist	1649	42	22	8,736	+/-5	10	10	5	atheist_S9/S2mf 
christian_norp	especially	1649	247	24	8,696	+/-5	10	10	5	especially_A14 
christian_norp	decline	1649	141	22	8,654	+/-5	10	10	5	decline_N5-/A2.1 
christian_norp	persecution	1649	118	20	8,535	+/-5	10	10	5	persecution_E3- 
christian_norp	territory	1649	151	20	8,508	+/-5	10	10	5	territory_M7 
christian_norp	subject	1649	178	19	8,413	+/-5	10	10	5	subject_S7.1- 
christian_norp	small	1649	373	21	8,411	+/-5	10	10	5	small_N3.2- 
christian_norp	nationalism	1649	132	18	8,371	+/-5	10	10	5	nationalism_G1.2/M7 
christian_norp	leave	1649	338	19	8,292	+/-5	10	10	5	leave_M1 
christian_norp	israel	1649	242	18	8,285	+/-5	10	10	5	israel_Z99 
christian_norp	status	1649	112	16	8,218	+/-5	10	10	5	status_S7.1 
christian_norp	hindus	1649	70	15	8,16	+/-5	10	10	5	hindus_Z99 
christian_norp	maronite	1649	73	15	8,157	+/-5	10	10	5	maronite_Z99 
christian_norp	lose	1649	250	16	8,109	+/-5	10	10	5	lose_X9.2- 
christian_norp	permit	1649	77	14	8,054	+/-5	10	10	5	permit_S7.4+ 
christian_norp	thousand	1649	215	15	8,043	+/-5	10	10	5	thousand_N1 
christian_norp	brother	1649	160	14	7,986	+/-5	10	10	5	brother_S4m 
christian_norp	iraq	1649	114	13	7,917	+/-5	10	10	5	iraq_Z99 
christian_norp	army	1649	250	14	7,916	+/-5	10	10	5	army_G3c 
christian_norp	animist	1649	20	12	7,88	+/-5	10	10	5	animist_Z99 
christian_norp	ottoman	1649	326	14	7,86	+/-5	10	10	5	ottoman_H5 
christian_norp	often	1649	326	14	7,86	+/-5	10	10	5	often_N6+ 
christian_norp	member	1649	400	14	7,807	+/-5	10	10	5	member_S5+/S2mf 
christian_norp	southern	1649	109	12	7,805	+/-5	10	10	5	southern_M6 
christian_norp	pakistan	1649	121	12	7,795	+/-5	10	10	5	pakistan_Z99 
christian_norp	family	1649	442	14	7,777	+/-5	10	10	5	family_S4c 
christian_norp	faith	1649	185	12	7,744	+/-5	10	10	5	faith_E6+ 
christian_norp	maronites	1649	37	11	7,74	+/-5	10	10	5	maronites_Z99 
christian_norp	consider	1649	504	14	7,735	+/-5	10	10	5	consider_X2.1 
christian_norp	oppression	1649	58	11	7,722	+/-5	10	10	5	oppression_S7.1+ 
christian_norp	persecute	1649	84	11	7,7	+/-5	10	10	5	persecute_E3- 
