target	collocate	f_x_target	f_y_collocate	f_xy_cooc	logDice	window	min_f_y	min_f_xy	min_logDice
muslim_norp	in	2919	15843	834	10.508	+/-5	10	10	5.0
muslim_norp	by	2919	4393	309	10.435	+/-5	10	10	5.0
muslim_norp	the	2919	47248	2028	10.371	+/-5	10	10	5.0
muslim_norp	be	2919	27314	1180	10.321	+/-5	10	10	5.0
muslim_norp	to	2919	21350	919	10.277	+/-5	10	10	5.0
muslim_norp	and	2919	21802	897	10.216	+/-5	10	10	5.0
muslim_norp	of	2919	25390	996	10.171	+/-5	10	10	5.0
muslim_norp	immigration	2919	480	117	10.139	+/-5	10	10	5.0
muslim_norp	a	2919	15478	624	10.118	+/-5	10	10	5.0
muslim_norp	country	2919	1655	155	10.117	+/-5	10	10	5.0
muslim_norp	christians	2919	803	125	10.104	+/-5	10	10	5.0
muslim_norp	that	2919	7957	339	9.996	+/-5	10	10	5.0
muslim_norp	muslim	2919	1881	140	9.9	+/-5	10	10	5.0
muslim_norp	with	2919	4503	210	9.857	+/-5	10	10	5.0
muslim_norp	all	2919	2515	152	9.84	+/-5	10	10	5.0
muslim_norp	europe	2919	1635	127	9.836	+/-5	10	10	5.0
muslim_norp	world	2919	1119	111	9.815	+/-5	10	10	5.0
muslim_norp	who	2919	1893	130	9.79	+/-5	10	10	5.0
muslim_norp	from	2919	3562	171	9.756	+/-5	10	10	5.0
muslim_norp	as	2919	6595	251	9.756	+/-5	10	10	5.0
muslim_norp	have	2919	7549	273	9.739	+/-5	10	10	5.0
muslim_norp	non	2919	679	93	9.726	+/-5	10	10	5.0
muslim_norp	they	2919	5374	214	9.724	+/-5	10	10	5.0
muslim_norp	for	2919	6283	232	9.69	+/-5	10	10	5.0
muslim_norp	not	2919	3822	169	9.682	+/-5	10	10	5.0
muslim_norp	muslims	2919	1669	111	9.631	+/-5	10	10	5.0
muslim_norp	their	2919	3120	144	9.61	+/-5	10	10	5.0
muslim_norp	will	2919	4179	167	9.591	+/-5	10	10	5.0
muslim_norp	christian	2919	1152	91	9.517	+/-5	10	10	5.0
muslim_norp	population	2919	456	74	9.489	+/-5	10	10	5.0
muslim_norp	against	2919	1169	88	9.462	+/-5	10	10	5.0
muslim_norp	we	2919	3542	138	9.451	+/-5	10	10	5.0
muslim_norp	on	2919	3691	141	9.449	+/-5	10	10	5.0
muslim_norp	many	2919	1166	86	9.43	+/-5	10	10	5.0
muslim_norp	moderate	2919	203	64	9.392	+/-5	10	10	5.0
muslim_norp	more	2919	1762	95	9.377	+/-5	10	10	5.0
muslim_norp	islam	2919	1466	87	9.345	+/-5	10	10	5.0
muslim_norp	or	2919	3845	131	9.31	+/-5	10	10	5.0
muslim_norp	majority	2919	354	61	9.254	+/-5	10	10	5.0
muslim_norp	there	2919	1556	82	9.23	+/-5	10	10	5.0
muslim_norp	it	2919	6025	159	9.186	+/-5	10	10	5.0
muslim_norp	this	2919	4324	126	9.155	+/-5	10	10	5.0
muslim_norp	live	2919	434	58	9.147	+/-5	10	10	5.0
muslim_norp	at	2919	2330	90	9.134	+/-5	10	10	5.0
muslim_norp	other	2919	1782	80	9.123	+/-5	10	10	5.0
muslim_norp	an	2919	2791	96	9.106	+/-5	10	10	5.0
muslim_norp	do	2919	2845	95	9.077	+/-5	10	10	5.0
muslim_norp	between	2919	587	57	9.057	+/-5	10	10	5.0
muslim_norp	deport	2919	102	49	9.054	+/-5	10	10	5.0
muslim_norp	islamic	2919	1342	68	9.03	+/-5	10	10	5.0
muslim_norp	among	2919	338	50	8.975	+/-5	10	10	5.0
muslim_norp	should	2919	1448	67	8.974	+/-5	10	10	5.0
muslim_norp	when	2919	1425	66	8.96	+/-5	10	10	5.0
muslim_norp	allow	2919	547	52	8.941	+/-5	10	10	5.0
muslim_norp	than	2919	1215	62	8.941	+/-5	10	10	5.0
muslim_norp	force	2919	723	54	8.924	+/-5	10	10	5.0
muslim_norp	mass	2919	345	48	8.913	+/-5	10	10	5.0
muslim_norp	but	2919	2392	78	8.911	+/-5	10	10	5.0
muslim_norp	western	2919	1207	60	8.896	+/-5	10	10	5.0
muslim_norp	war	2919	1009	56	8.868	+/-5	10	10	5.0
muslim_norp	into	2919	950	54	8.837	+/-5	10	10	5.0
muslim_norp	become	2919	677	50	8.832	+/-5	10	10	5.0
muslim_norp	million	2919	430	46	8.814	+/-5	10	10	5.0
muslim_norp	community	2919	285	44	8.814	+/-5	10	10	5.0
muslim_norp	he	2919	2147	69	8.802	+/-5	10	10	5.0
muslim_norp	most	2919	1185	53	8.725	+/-5	10	10	5.0
muslim_norp	support	2919	595	45	8.713	+/-5	10	10	5.0
muslim_norp	man	2919	765	47	8.708	+/-5	10	10	5.0
muslim_norp	about	2919	1105	51	8.698	+/-5	10	10	5.0
muslim_norp	if	2919	1823	60	8.696	+/-5	10	10	5.0
muslim_norp	even	2919	968	49	8.69	+/-5	10	10	5.0
muslim_norp	jihad	2919	656	45	8.688	+/-5	10	10	5.0
muslim_norp	european	2919	2092	63	8.686	+/-5	10	10	5.0
muslim_norp	group	2919	745	46	8.684	+/-5	10	10	5.0
muslim_norp	state	2919	1073	50	8.681	+/-5	10	10	5.0
muslim_norp	include	2919	689	45	8.675	+/-5	10	10	5.0
muslim_norp	demand	2919	217	39	8.671	+/-5	10	10	5.0
muslim_norp	where	2919	779	45	8.639	+/-5	10	10	5.0
muslim_norp	any	2919	1191	50	8.639	+/-5	10	10	5.0
muslim_norp	deportation	2919	125	37	8.638	+/-5	10	10	5.0
muslim_norp	only	2919	1225	50	8.627	+/-5	10	10	5.0
muslim_norp	one	2919	1834	57	8.618	+/-5	10	10	5.0
muslim_norp	want	2919	588	42	8.616	+/-5	10	10	5.0
muslim_norp	which	2919	2277	62	8.611	+/-5	10	10	5.0
muslim_norp	woman	2919	583	41	8.584	+/-5	10	10	5.0
muslim_norp	can	2919	1952	56	8.557	+/-5	10	10	5.0
muslim_norp	out	2919	1000	45	8.556	+/-5	10	10	5.0
muslim_norp	kill	2919	415	38	8.545	+/-5	10	10	5.0
muslim_norp	give	2919	616	40	8.534	+/-5	10	10	5.0
muslim_norp	while	2919	639	40	8.525	+/-5	10	10	5.0
muslim_norp	gang	2919	128	34	8.514	+/-5	10	10	5.0
